Date,Energie journalière (MWh)
01/01/2024,1237645
02/01/2024,1361332
03/01/2024,1379638
04/01/2024,1394084
05/01/2024,1426408
06/01/2024,1393469
07/01/2024,1446879
08/01/2024,1742502
09/01/2024,1862873
10/01/2024,1876785
11/01/2024,1843548
12/01/2024,1818394
13/01/2024,1735975
14/01/2024,1683644
15/01/2024,1731177
16/01/2024,1771890
17/01/2024,1693737
18/01/2024,1668978
19/01/2024,1779739
20/01/2024,1737591
21/01/2024,1633292
22/01/2024,1621271
23/01/2024,1548858
24/01/2024,1440256
25/01/2024,1415383
26/01/2024,1405525
27/01/2024,1366601
28/01/2024,1362569
29/01/2024,1451603
30/01/2024,1441343
31/01/2024,1454146
