Date;Number of flights
2 janv 2019;5 147
3 janv 2019;5 518
4 janv 2019;5 588
5 janv 2019;4 798
6 janv 2019;5 329
7 janv 2019;5 288
8 janv 2019;4 670
9 janv 2019;4 702
10 janv 2019;5 056
11 janv 2019;5 330
12 janv 2019;4 227
13 janv 2019;4 848
14 janv 2019;5 147
15 janv 2019;4 596
16 janv 2019;4 625
17 janv 2019;5 068
18 janv 2019;5 426
19 janv 2019;4 172
20 janv 2019;4 929
21 janv 2019;5 167
22 janv 2019;4 550
23 janv 2019;4 611
24 janv 2019;5 089
25 janv 2019;5 444
26 janv 2019;4 215
27 janv 2019;4 899
28 janv 2019;5 252
29 janv 2019;4 638
30 janv 2019;4 686
31 janv 2019;5 026
1 févr 2019;5 182
2 févr 2019;4 362
3 févr 2019;5 044
4 févr 2019;5 262
5 févr 2019;4 767
6 févr 2019;4 867
7 févr 2019;5 363
8 févr 2019;5 508
9 févr 2019;4 499
10 févr 2019;5 098
11 févr 2019;5 475
12 févr 2019;5 046
13 févr 2019;5 035
14 févr 2019;5 548
15 févr 2019;5 961
16 févr 2019;5 054
17 févr 2019;5 290
18 févr 2019;5 529
19 févr 2019;5 154
20 févr 2019;5 026
21 févr 2019;5 527
22 févr 2019;5 611
23 févr 2019;4 981
24 févr 2019;5 692
25 févr 2019;5 621
26 févr 2019;5 200
27 févr 2019;5 122
28 févr 2019;5 569
1 mars 2019;5 818
2 mars 2019;4 657
3 mars 2019;5 144
4 mars 2019;5 590
5 mars 2019;5 140
6 mars 2019;5 112
7 mars 2019;5 581
8 mars 2019;5 833
9 mars 2019;4 621
10 mars 2019;5 184
11 mars 2019;5 693
12 mars 2019;5 089
13 mars 2019;5 076
14 mars 2019;5 583
15 mars 2019;5 883
16 mars 2019;4 673
17 mars 2019;5 324
18 mars 2019;5 693
19 mars 2019;5 209
20 mars 2019;5 182
21 mars 2019;5 665
22 mars 2019;5 891
23 mars 2019;4 670
24 mars 2019;5 313
25 mars 2019;5 621
26 mars 2019;5 233
27 mars 2019;5 243
28 mars 2019;5 709
29 mars 2019;5 985
30 mars 2019;4 788
31 mars 2019;5 361
1 avr 2019;6 058
2 avr 2019;5 832
3 avr 2019;5 915
4 avr 2019;6 078
5 avr 2019;6 288
6 avr 2019;5 353
7 avr 2019;5 710
8 avr 2019;6 125
9 avr 2019;5 946
10 avr 2019;6 064
11 avr 2019;6 198
12 avr 2019;6 372
13 avr 2019;5 367
14 avr 2019;5 761
15 avr 2019;6 119
16 avr 2019;5 930
17 avr 2019;5 989
18 avr 2019;6 268
19 avr 2019;5 859
20 avr 2019;5 174
21 avr 2019;5 555
22 avr 2019;5 903
23 avr 2019;5 999
24 avr 2019;5 983
25 avr 2019;6 106
26 avr 2019;6 253
27 avr 2019;5 172
28 avr 2019;5 677
29 avr 2019;6 201
30 avr 2019;6 085
1 mai 2019;6 157
2 mai 2019;6 396
3 mai 2019;6 677
4 mai 2019;5 474
5 mai 2019;5 900
6 mai 2019;6 076
7 mai 2019;6 373
8 mai 2019;6 286
9 mai 2019;6 207
10 mai 2019;6 672
11 mai 2019;5 601
12 mai 2019;6 121
13 mai 2019;6 457
14 mai 2019;6 284
15 mai 2019;6 331
16 mai 2019;6 509
17 mai 2019;6 632
18 mai 2019;5 686
19 mai 2019;6 007
20 mai 2019;6 644
21 mai 2019;6 258
22 mai 2019;6 498
23 mai 2019;6 702
24 mai 2019;7 089
25 mai 2019;6 003
26 mai 2019;6 175
27 mai 2019;6 445
28 mai 2019;6 589
29 mai 2019;6 618
30 mai 2019;6 745
31 mai 2019;6 970
1 juin 2019;6 130
2 juin 2019;6 747
3 juin 2019;6 819
4 juin 2019;6 654
5 juin 2019;6 765
6 juin 2019;6 896
7 juin 2019;6 915
8 juin 2019;5 978
9 juin 2019;6 283
10 juin 2019;6 762
11 juin 2019;6 653
12 juin 2019;6 608
13 juin 2019;6 953
14 juin 2019;7 015
15 juin 2019;5 998
16 juin 2019;6 445
17 juin 2019;6 934
18 juin 2019;6 684
19 juin 2019;6 745
20 juin 2019;6 995
21 juin 2019;7 038
22 juin 2019;5 990
23 juin 2019;6 433
24 juin 2019;6 833
25 juin 2019;6 711
26 juin 2019;6 766
27 juin 2019;7 039
28 juin 2019;7 010
29 juin 2019;6 014
30 juin 2019;6 464
1 juil 2019;6 932
2 juil 2019;6 749
3 juil 2019;6 794
4 juil 2019;7 034
5 juil 2019;7 080
6 juil 2019;6 118
7 juil 2019;6 454
8 juil 2019;6 889
9 juil 2019;6 707
10 juil 2019;6 704
11 juil 2019;7 010
12 juil 2019;7 002
13 juil 2019;6 199
14 juil 2019;6 555
15 juil 2019;6 958
16 juil 2019;6 667
17 juil 2019;6 795
18 juil 2019;6 972
19 juil 2019;6 950
20 juil 2019;6 091
21 juil 2019;6 432
22 juil 2019;6 836
23 juil 2019;6 651
24 juil 2019;6 667
25 juil 2019;6 519
26 juil 2019;6 807
27 juil 2019;6 074
28 juil 2019;6 338
29 juil 2019;6 799
30 juil 2019;6 639
31 juil 2019;6 726
1 août 2019;6 871
2 août 2019;6 911
3 août 2019;6 134
4 août 2019;6 398
5 août 2019;6 740
6 août 2019;6 527
7 août 2019;6 454
8 août 2019;6 808
9 août 2019;6 716
10 août 2019;5 992
11 août 2019;6 422
12 août 2019;6 735
13 août 2019;6 592
14 août 2019;6 613
15 août 2019;6 786
16 août 2019;6 886
17 août 2019;6 063
18 août 2019;6 418
19 août 2019;6 783
20 août 2019;6 638
21 août 2019;6 716
22 août 2019;6 859
23 août 2019;6 955
24 août 2019;6 081
25 août 2019;6 394
26 août 2019;6 541
27 août 2019;6 710
28 août 2019;6 779
29 août 2019;6 956
30 août 2019;7 065
31 août 2019;6 201
1 sept 2019;6 378
